,original_title,Director,Combined,overview
3310,Loin des hommes,David Oelhoffen,"Viggo Mortensen,Reda Kateb,Djemel Barek,David Oelhoffen,Drama,War,Loin des hommes",A French teacher in a small Algerian village during the Algerian War forms an unexpected bond with a dissident who is ordered to be turned in to the authorities.
3311,Thank You for Smoking,Jason Reitman,"Aaron Eckhart,Maria Bello,Cameron Bright,Jason Reitman,Comedy,Drama,Thank You for Smoking","The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage."
3312,Hostel: Part II,Eli Roth,"Lauren German,Bijou Phillips,Heather Matarazzo,Eli Roth,Horror,Hostel: Part II","Following a geographical tour of Slovakia, three young American women are lured into a hostel by a handsome young man who sells them to the twisted masters, ties them up and brings upon an unthinkable world of pain."
3313,An Education,Lone Scherfig,"Carey Mulligan,Olivia Williams,Peter Sarsgaard,Lone Scherfig,Drama,Romance,An Education","A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age."
3314,Shopgirl,Anand Tucker,"Steve Martin,Claire Danes,Jason Schwartzman,Anand Tucker,Comedy,Drama,Romance,Shopgirl","Mirabelle is a disenchanted salesgirl and aspiring artist who sells gloves and accessories at a department store. She has two men in her life: wealthy divorcée Ray Porter and struggling musician Jeremy. Mirabelle falls in love with the glamorous Ray, and her life takes a magical turn, but eventually she realizes that she must empower herself and make a choice between them."
3315,The Hotel New Hampshire,Tony Richardson,"Rob Lowe,Jodie Foster,Paul McCrane,Tony Richardson,Comedy,Drama,The Hotel New Hampshire",The film talks about a family that weathers all sorts of disasters and keeps going in spite of it all. It is noted for its wonderful assortment of oddball characters.
3316,Narc,Joe Carnahan,"Jason Patric,Ray Liotta,Chi McBride,Joe Carnahan,Action,Crime,Drama,Narc","An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads and informants turn up dead."
3317,Men with Brooms,Paul Gross,"Paul Gross,Molly Parker,Leslie Nielsen,Paul Gross,Comedy,Men with Brooms","A witty and clever comedy that follows four longtime curling friends reunited by the last wishes of their recently deceased coach and set out to win the Golden Broom. Realising that the out of shape crew will be hard-pressed to win without a coach, Cutter swallows his pride and calls upon a retired curling champion - his estranged father. Now, these men with brooms, along with their new eccentric coach and Cutter's new romantic interest Amy, set off on a comedic journey which takes them from frozen lakes to huge arenas, searching for perfect stones, lost loves and second chances."
3318,Witless Protection,Charles Robert Carner,"Larry the Cable Guy,Ivana Miličević,Jenny McCarthy,Charles Robert Carner,Action,Adventure,Comedy,Witless Protection",The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her
3319,The Work and the Glory,Russell Holt,"Sam Hennings,Brenda Strong,Eric Johnson,Russell Holt,Drama,Romance,The Work and the Glory","When Benjamin Steed and Mary Ann Steed relocate their family to upstate New York in the early 1800's, they unwittingly settle in a town divided along religious lines. After their new hired help turns out to be at the center of the uproar, each member of the Steed family must come to terms with their own beliefs in the face of heavy persecution. Together they struggle to weather the raging controversy surrounding a young man named Joseph Smith."
3320,Extract,Mike Judge,"Jason Bateman,Mila Kunis,Kristen Wiig,Mike Judge,Comedy,Extract","The owner of a factory that produces flavor extracts, Joel Reynold seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie. Joel hatches a convoluted plan to get Suzie to cheat on him, thereby clearing the way for Joel to have an affair with Cindy, an employee. But what Joel doesn't know is that Cindy is a sociopathic con artist, and a freak workplace accident clears the way for her to ruin Joel forever."
3321,Masked and Anonymous,Larry Charles,"Bob Dylan,Jeff Bridges,Penélope Cruz,Larry Charles,Drama,Music,Masked and Anonymous","Amidst unrest, organizers put on a benefit concert."
3322,Betty Fisher et autres histoires,Claude Miller,"Sandrine Kiberlain,Nicole Garcia,Mathilde Seigner,Claude Miller,Drama,Thriller,Crime,Betty Fisher et autres histoires","Grieving after the death of her young son Joseph, novelist Betty Fisher enters a dark depression. Hoping to bring her out of it, her mother Margot arranges to kidnap another child, Jose, to replace the son Betty lost. Although she knows it's wrong, Betty accepts Jose as her new son. Meanwhile, Jose's mother Carole is looking for her son with the help of her boyfriend Francois and some of his criminal cohorts."
3323,Code 46,Michael Winterbottom,"Tim Robbins,Samantha Morton,Nabil Elouahabi,Michael Winterbottom,Drama,Romance,Science Fiction,Code 46","A futuristic 'Brief Encounter', a love story in which the romance is doomed by genetic incompatibility."
3324,Outside Bet,Sacha Bennett,"Bob Hoskins,Jenny Agutter,Phil Davis,Sacha Bennett,Comedy,Outside Bet",A group of print workers in 1980s London club together to buy a race horse.
3325,Albert Nobbs,Rodrigo García,"Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,Rodrigo García,Drama,Albert Nobbs","Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living."
3326,Black November,Jeta Amata,"Razaaq Adoti,Sarah Wayne Callies,Mickey Rourke,Jeta Amata,Drama,Action,Crime,Black November","A volatile, oil-rich Nigerian community wages war against their corrupt government and a multi-national oil corporation to protect their land from being destroyed by excessive drilling and spills.  To seek justice, a rebel organization kidnaps an American oil executive and demands that his corporation end the destruction and pollution.  Inspired by true events, Black November is the gripping story of how a community rises up and takes drastic measures to make sure their voices are heard."
3327,Ta Ra Rum Pum,Siddharth Anand,"Saif Ali Khan,Rani Mukerji,Angelina Idnani,Siddharth Anand,Family,Comedy,Romance,Ta Ra Rum Pum","A poor New York resident, who is of Indian origin, dreams of becoming a fast car race driver. He endeavors, and his efforts are rewarded when he selected by a little-known group called 'RACING SADDLES'. He joins them and soon becomes their ace race driver. This man, whose name is Rajveer, then meets with a rich American woman, also of Indian origin, whose name is Radhika.  Both fall in love with each other. They cannot get married, because Radhika's family hates Rajveer mainly because he is very poor. But Radhika is very stubborn, so she marries him. She loses all her rights to her family's wealth. They get married and become parents of two children. They also become very rich. Then Rajveer has an accident which changes their lives forever. They get into debt and stand to lose everything. Will Radhika be forced to return back to her family?"
3328,Persepolis,Vincent Paronnaud,"Chiara Mastroianni,Danielle Darrieux,Catherine Deneuve,Vincent Paronnaud,Animation,Drama,Persepolis","In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own."
3329,The Hole,Joe Dante,"Chris Massoglia,Haley Bennett,Nathan Gamble,Joe Dante,Thriller,Adventure,Fantasy,The Hole","After moving into a new neighbourhood, brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed, evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life, they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE."
3330,Die Welle,Dennis Gansel,"Jürgen Vogel,Frederick Lau,Max Riemelt,Dennis Gansel,Drama,Thriller,Die Welle",A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated.
3331,The Neon Demon,Nicolas Winding Refn,"Elle Fanning,Karl Glusman,Jena Malone,Nicolas Winding Refn,Thriller,Horror,The Neon Demon","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
3332,Harry Brown,Daniel Barber,"Michael Caine,Emily Mortimer,Iain Glen,Daniel Barber,Thriller,Crime,Drama,Harry Brown",An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.
3333,The Omega Code,Robert Marcarelli,"Casper Van Dien,Michael York,Catherine Oxenberg,Robert Marcarelli,Horror,Thriller,The Omega Code","In this spiritual thriller, an ancient prophecy is about to be fulfilled as a secret code brings the world to the edge of Apocalypse. Gillen Lane (Casper Van Dien) is a expert on theology and mythology who has gained international fame as a motivational speaker."
3334,Juno,Jason Reitman,"Ellen Page,Michael Cera,Jennifer Garner,Jason Reitman,Comedy,Drama,Romance,Juno","A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up."
